Kreis-Id; Stadt;Winterweizen;Roggen und Wintermenggetreide;Wintergerste;Sommergerste;Hafer;Triticale;Kartoffeln;Zuckerrüben;Winterraps;Silomais
08315;      Breisgau-Hochschwarzwald, Landkreis;80,5;/;/;/;/;/;473,2;/;/;535,8
08316;      Emmendingen, Landkreis;75,4;/;/;/;/;/;/;-;/;/
08317;      Ortenaukreis, Landkreis;70,5;/;61,3;/;60,1;/;/;/;/;/
08325;      Rottweil, Landkreis;67,5;/;76,5;49,4;/;/;/;/;28,1;479,5
08326;      Schwarzwald-Baar-Kreis, Landkreis;/;/;/;/;/;/;/;/;/;/
08327;      Tuttlingen, Landkreis;66,3;/;/;37,5;39;/;/;/;/;451,3
08335;      Konstanz, Landkreis;51,6;/;/;/;/;/;/;/;/;390,7
08336;      Lörrach, Landkreis;/;/;/;/;/;/;/;/;/;/
08337;      Waldshut, Landkreis;47,6;/;54,6;46,9;/;54;/;/;/;382,2
08415;      Reutlingen, Landkreis;53,9;/;75,3;38,5;36,3;63,9;371,1;/;/;410,2
08416;      Tübingen, Landkreis;57,6;/;74,8;53,7;36,1;/;/;/;40,8;/
08417;      Zollernalbkreis, Landkreis;52,1;/;46;/;45,9;52,1;/;-;/;456,9
08421;      Ulm, Stadtkreis;/;/;/;/;/;/;/;-;/;/
08425;      Alb-Donau-Kreis, Landkreis;68,7;/;71,5;54,9;44,6;64,7;/;763,9;35,8;474,2
08426;      Biberach, Landkreis;70,4;/;69,5;52,2;65,7;67,6;/;/;36,1;444
08435;      Bodenseekreis, Landkreis;80,1;/;75;/;/;/;/;/;/;/
08436;      Ravensburg, Landkreis;75,8;38,9;75;/;/;/;/;/;/;455,9
08437;      Sigmaringen, Landkreis;70,1;/;73,3;58,5;57,5;72,2;/;/;32,6;488,3
2020;;;;;;;;;;;
08111;      Stuttgart, Stadtkreis;/;/;/;/;/;/;/;654,6;/;/
08115;      Böblingen, Landkreis;85,6;/;29,7;70,8;/;/;/;/;44,6;/
08116;      Esslingen, Landkreis;86,4;/;71,5;/;/;/;/;/;/;417
08117;      Göppingen, Landkreis;81,8;/;69,4;/;/;/;/;/;/;431,4
08118;      Ludwigsburg, Landkreis;75,1;/;60;52,2;51,4;/;274,4;645,9;/;416,1
08119;      Rems-Murr-Kreis, Landkreis;71,5;/;61;59,7;54,3;65,6;347,3;590,7;/;465,8
08121;      Heilbronn, Stadtkreis;/;/;/;/;/;-;/;/;/;/
08125;      Heilbronn, Landkreis;81,7;/;60,3;60,9;/;/;337;630,6;45,4;394,2
08126;      Hohenlohekreis, Landkreis;75,5;/;54,9;53,7;48,3;/;/;674,1;41,6;395,4
08127;      Schwäbisch Hall, Landkreis;88,8;/;57,5;73,5;/;72,7;/;/;44,1;495,2
08128;      Main-Tauber-Kreis, Landkreis;69,5;52,5;41,8;56,8;40,1;52,5;205,2;732,1;41,2;386,5
08135;      Heidenheim, Landkreis;69;/;/;/;/;/;/;/;/;505,5
08136;      Ostalbkreis, Landkreis;82,9;/;61;58,9;42,3;/;/;/;41,5;519,6
08211;      Baden-Baden, Stadtkreis;/;/;/;/;-;-;/;-;-;/
08212;      Karlsruhe, Stadtkreis;/;/;/;/;/;/;/;/;-;/
08215;      Karlsruhe, Landkreis;69;50,1;50;49,7;32,4;/;389;563,7;31,6;/
08216;      Rastatt, Landkreis;73,8;/;/;/;/;/;/;/;/;/
08221;      Heidelberg, Stadtkreis;/;-;/;/;/;/;/;/;/;/
08222;      Mannheim, Stadtkreis;/;/;/;/;/;/;/;/;/;/
08225;      Neckar-Odenwald-Kreis, Landkreis;68,6;/;51;50,9;39,9;53,6;/;714,9;39,2;391,7
08226;      Rhein-Neckar-Kreis, Landkreis;82,8;62,2;59,8;50;43,3;/;/;769,4;36,7;505,7
08231;      Pforzheim, Stadtkreis;/;/;/;/;/;/;/;-;-;/
08235;      Calw, Landkreis;92,1;/;/;/;48,7;/;/;/;/;/
